XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR
methoxamine	0.828	211.120843404	0	4	2.23	3	8	4	15	1	32	6	6	0.381700000000001	0.145694890000001	58.0047
methoxsalen	1.464	216.042258736	0	1	2.34	0	15	2	18	0	24	15	13	2.302	5.299204	51.8719
methoxyflurane	1.911	163.960726548	0	2	1.24	2	0	5	7	0	12	0	0	2.143	4.592449	27.975
methoxyphenamine	2.067	179.131014164	0	4	2.45	3	7	4	13	1	30	6	6	1.5304	2.34212416	55.1439
methscopolamine	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
methsuximide	1.372	203.094628656	0	1	2.45	0	6	0	16	0	28	6	6	1.3252	1.75615504	56.3486
methyclothiazide	0.566	358.956803192	0	2	1.24	0	15	3	21	0	31	6	6	1.1434	1.30736356	75.6026
methyl_salicylate	1.981	152.047344116	0	2	2.01	0	10	4	11	0	19	6	6	1.5547	2.41709209	39.7023
methylcellulose	-2.494	658.730620554554	3	18	2.89	0	0	3	47	0	99	0	0	-1.5137	2.29128769	153.0132
methyldopa	-1.92	211.084457896	0	3	2.01	3	8	4	15	1	28	6	6	0.880299999999999	0.774928089999999	53.0666
methyldopate	1.502	275.092435736001	0	5	2.12	3	8	6	17	1	36	6	6	1.2543	1.57326849	62.2046
methylene_blue	1.372	373.122690308001	0	1	2.34	0	15	3	22	1	48	15	14	NA	NA	NA
methylergonovine	1.54	339.194677040001	0	5	3.11	4	11	6	28	1	50	10	9	0.7079	0.501122409999999	97.4395
methylfolic_acid	-1.691	455.155331392	1	10	2.23	5	12	8	35	0	54	17	16	0.117599999999998	0.0138297599999996	110.224
methylnaltrexone	0.238	356.186183312001	0	2	3.22	0	8	0	31	2	52	6	6	-0.831500000000002	0.691392250000004	92.2222
methylphenidate	2.505	233.141578848	0	4	2.67	2	6	4	18	1	36	6	6	0.217500000000001	0.0473062500000005	61.352
methylprednisolone	1.525	374.209324060001	0	2	3.33	2	6	4	30	0	57	0	0	-0.979899999999998	0.960204009999997	101.2791
methylsulfonylmethane	3.443	464.130333800001	0	5	2.67	2	6	4	30	1	59	6	6	0.528499999999999	0.279312249999999	105.9478
methyltestosterone	4.052	302.224580200001	0	0	3.44	0	4	0	25	0	52	0	0	1.0101	1.02030201	88.1159
methysergide	1.844	353.210327104001	0	5	3.22	4	11	6	29	1	53	10	9	0.913799999999999	0.835030439999998	102.3362
metipranolol	2.225	309.194008344001	0	8	2.78	3	10	7	22	1	49	6	6	2.2093	4.88100648999999	86.8876
metoclopramide	1.846	299.140054624001	0	8	2.34	2	11	8	20	1	42	6	6	1.9467	3.78964089000001	81.658
metolazone	2.475	365.060090052	0	2	2.34	0	20	3	26	0	40	12	12	3.4347	11.79716409	90.8829
metopimazine	4.144	445.149383724001	0	6	3	3	16	3	33	1	57	12	12	2.7318	7.46273124	115.2199
metoprolol	1.628	267.18344366	0	9	2.67	3	7	7	19	1	44	6	6	1.0426	1.08701476	76.6505
metronidazole	2.314	275.090605896	0	6	2.12	2	9	5	21	0	33	11	11	2.3307	5.43216249	67.0241
metyrapone	1.848	226.110613068	0	3	2.67	3	8	4	18	0	31	12	12	1.8472	3.41214784	65.9444
metyrosine	-1.675	195.215506757359	0	3	2.12	3	7	4	14	1	27	6	6	0.8929	0.797270409999999	51.5227
mexiletine	2.073	179.131014164	0	3	2.45	3	7	4	13	1	30	6	6	2.0737	4.30023169	55.0627
mezlocillin	-0.0430000000000005	539.114454760001	1	9	2.12	2	10	6	39	0	61	6	6	-0.0333999999999996	0.00111555999999997	123.5547
mianserin	3.54	264.16264864	0	0	3.22	0	7	0	23	1	40	12	12	3.8337	14.69725569	84.4236
mibefradil	5.099	495.289720296001	2	12	3.88	3	9	6	39	1	74	16	15	3.1682	10.03749124	135.8766
micafungin	0.462999999999998	1269.438350532	3	19	3.99	5	21	6	95	0	160	23	23	-6.154	37.871716	287.358
miconazole	6.087	413.986023788	1	6	2.67	2	6	4	27	0	39	17	17	6.0277	36.33316729	102.8423
midodrine	-0.46	254.126657056	0	7	2.12	2	8	7	18	1	36	6	6	-0.444200000000001	0.197313640000001	65.4238
mifepristone	4.656	429.266779360001	0	2	4.32	3	7	3	36	0	67	6	6	3.7496	14.05950016	132.5696
miglitol	-2.257	207.110672644	0	3	1.68	2	0	3	14	1	31	0	0	-2.4435	5.97069225	48.1614
miglustat	-0.198	219.147058152	0	4	2.01	4	0	4	15	1	36	0	0	-2.5195	6.34788024999999	52.6065
milnacipran	1.909	246.173213324	0	6	2.78	0	6	5	19	1	40	6	6	0.651800000000002	0.424843240000002	72.1318
milrinone	0.37	211.074561908	0	1	2.34	0	15	2	17	0	25	12	12	1.7541	3.07686681	56.2763
miltefosine	6.631	407.316445582001	2	20	3.11	16	5	23	26	2	73	0	0	-6.0081	36.09726561	87.5463
minocycline	1.082	457.184900204001	0	3	2.89	0	13	3	36	1	60	6	6	-0.987799999999999	0.975748839999999	118.6762
minoxidil	2.895	209.1276601	0	1	1.79	0	10	0	16	0	30	6	6	-1.5631	2.44328161	51.3405
mipomersen	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
mirabegron	1.658	396.161997008001	0	10	3	2	9	6	30	1	52	17	17	2.3435	5.49199225	113.4756
mirtazapine	3.016	265.157897608	0	0	3	0	7	0	23	1	39	12	12	2.8625	8.19390624999999	82.5298
misoprostol	3.567	382.271924316001	1	14	3.33	8	3	9	27	0	65	0	0	-2.0855	4.34931025	96.8757
mitomycin	-1.386	334.127719676001	0	4	2.12	0	10	4	27	1	42	0	0	-1.8914	3.57739396	80.8988
mitotane	5.995	317.95366104	1	3	2.56	2	6	3	19	0	28	12	12	6.0973	37.17706729	79.6084
mitoxantrone	-0.602000000000001	444.200884616001	2	12	2.78	2	20	7	34	2	60	12	12	0.2726	0.0743107600000001	122.81
mivacurium	7.246	1028.56095524	2	30	6.08	8	9	16	79	4	154	24	24	5.4524	29.72866576	277.3218
mizolastine	4.377	432.207387640001	0	5	3.22	0	10	2	36	0	57	22	21	3.6913	13.62569569	114.5845
moclobemide	1.502	268.097855464	0	5	2.34	2	9	5	19	1	35	6	6	1.6418	2.69550724	71.1315
modafinil	0.538000000000001	273.08234972	0	5	2.67	2	6	5	20	0	34	12	12	1.6673	2.77988929	66.5956
moexipril	2.722	498.236601428001	1	13	3.44	4	8	9	38	1	70	12	12	1.6822	2.82979684000001	131.0493
molindone	1.175	276.183778008001	0	3	2.78	0	7	2	22	1	44	5	5	1.6717	2.79458089000001	80.9289
molsidomine	-0.174	242.101504928	0	5	1.57	0	10	5	18	1	31	5	5	-1.2217	1.49255089	54.6967
mometasone	2.12	426.136464736001	0	2	3.22	2	6	4	31	0	56	0	0	0.525200000000001	0.275835040000001	109.0894
monofluorophosphate	-1.405	143.93644727	0	0	0.69	0	3	3	4	2	7	0	0	NA	NA	NA
montelukast	7.888	585.210442692001	2	12	4.65	3	18	5	45	0	77	23	22	6.5954	43.49930116	168.6001
moricizine	2.288	427.156577280001	0	8	3	3	19	5	33	1	55	12	12	3.5905	12.89169025	115.5427
morniflumate	3.453	395.145676160001	0	8	2.56	2	16	5	30	1	48	12	12	3.2971	10.87086841	97.5928
morphine	0.49	285.136493468001	0	0	2.89	0	8	0	25	1	40	6	6	1.2844	1.64968335999999	79.341
mosapride	2.931	421.156847560001	0	8	2.89	0	11	4	31	1	54	12	12	3.4565	11.94739225	110.7877
moxalactam	0.301	520.10124722	1	10	1.9	3	8	5	39	0	56	11	11	-0.0944000000000018	0.00891136000000034	123.8276
moxifloxacin	3.182	401.175084468001	0	4	2.89	0	16	3	33	1	53	11	10	0.818099999999998	0.669287609999996	94.83
moxonidine	0.814	241.073037684	0	3	1.68	0	11	2	17	3	28	6	6	0.610700000000001	0.372954490000001	60.2794
mupirocin	2.451	500.298532988001	1	17	3.33	9	5	15	36	0	79	0	0	-2.9883	8.92993689	117.3531
mycophenolate	1.727	342.107932608001	0	6	2.56	6	11	7	24	1	43	6	6	NA	NA	NA
mycophenolate_mofetil	1.982	433.210052332001	0	10	3.11	6	11	9	33	1	62	6	6	2.7924	7.79749775999998	117.1522
mycophenolic_acid	2.208	320.125988360001	0	6	2.67	6	11	7	24	0	43	6	6	2.715	7.371225	85.2895
nabilone	6.801	372.266445012001	1	6	3.77	8	8	8	29	0	63	6	6	1.4507	2.10453048999999	102.5968
nabumetone	3.064	228.115029752	0	4	2.89	4	11	4	18	0	33	11	10	2.5369	6.43586160999999	68.6204
nadolol	1.166	309.194008344001	0	6	2.78	3	7	7	23	1	49	6	6	0.756199999999999	0.571838439999999	85.6708
nafarelin	0.326999999999999	1321.635625716	3	43	5.42	5	10	28	103	3	179	32	30	-3.8175	14.57330625	325.5509
nafcillin	3.284	414.124942804001	0	6	2.89	0	14	3	32	0	51	11	10	2.3192	5.37868864	106.789
nafronyl	3.797	473.241352460001	1	12	3.44	3	10	9	35	1	69	11	10	2.4169	5.84140561000001	123.4614
naftazone	1.55	215.069476528	0	2	2.12	0	16	4	17	0	25	6	6	1.032	1.065024	57.3647
naftifine	5.351	287.167399672001	1	5	3.66	3	10	5	24	1	43	17	16	4.8633	23.65168689	95.9821
nalbuphine	1.141	357.194008344001	0	2	3.22	0	8	0	31	1	53	6	6	-0.100300000000001	0.0100600900000002	91.314
nalidixate	1.359	254.066736492	0	2	2.12	0	14	3	18	1	29	11	10	NA	NA	NA
nalmefene	1.248	339.183443660001	0	2	3.33	0	8	0	30	1	50	6	6	1.4333	2.05434889	93.3959
naloxone	0.306	327.147058152001	0	2	3	3	8	3	28	1	45	6	6	1.0257	1.05206049	87.8643
naltrexone	0.429	341.162708216001	0	2	3.11	0	8	0	30	1	48	6	6	0.650699999999998	0.423410489999997	89.3484
nandrolone	6.756	422.282095076001	1	3	4.21	0	4	3	36	0	69	0	0	0.865399999999995	0.748917159999991	120.4551
naphazoline	2.765	210.115698448	0	2	2.78	0	10	0	18	2	30	11	10	1.9398	3.76282403999999	64.5327
naproxen	2.844	230.094294308	0	3	2.67	3	11	4	18	0	31	11	10	2.7486	7.55480195999999	65.0088
naratriptan	1.614	335.166748040001	0	5	2.67	2	9	5	25	1	48	10	9	0.501499999999999	0.251502249999999	88.8701
natamycin	1.082	665.304740564001	2	3	3.55	0	8	3	50	1	94	0	0	-3.1071	9.65407041	162.9226
nateglinide	4.561	317.199093724001	0	7	3.11	3	6	6	24	0	50	6	6	1.8494	3.42028036	86.9455
nebivolol	2.738	405.175164720001	0	6	3.11	2	7	7	32	1	54	12	12	2.061	4.247721	99.8588
nedocromil	2.688	371.100501884	0	5	2.67	3	22	3	29	0	44	16	14	2.1895	4.79391025000001	85.6192
nefazodone	4.849	469.224452944001	0	10	3.33	3	7	3	36	1	65	17	17	4.6348	21.48137104	128.6299
nefopam	2.846	253.146664228	0	1	3.11	0	6	0	21	1	38	12	12	3.1384	9.84955455999999	78.4816
nelarabine	-0.774	297.10731858	0	3	1.57	0	11	2	23	0	36	10	9	-1.2454	1.55102116	71.3001
nelfinavir	5.996	567.313077920001	1	12	4.1	4	10	6	43	1	85	12	12	3.099	9.60380099999998	154.8333
neomycin	-6.914	614.644683602728	3	9	1.9	0	0	2	45	6	88	0	0	-8.9587	80.25830569	135.9003
neostigmine	1.005	223.144652848	0	4	2.34	0	11	4	16	2	35	6	6	0.766200000000001	0.587062440000002	62.0167
nepafenac	1.887	254.105527688	0	4	2.67	2	15	3	20	0	33	12	12	1.7318	2.99913124	72.8637
nesiritide	-4.89899999999999	3464.0472844561	4	106	6.63	6	6	26	242	16	483	11	11	-15.2428	232.34295184	864.873
netilmicin	-2.815	475.300598652001	2	8	2.45	0	3	3	35	5	74	0	0	-4.6052	21.20786704	117.1315
netupitant	7.546	578.592818101778	2	8	3.55	3	16	5	44	1	73	18	18	7.132	50.865424	148.5944
nevirapine	2.587	266.116761068	0	1	2.56	0	16	0	23	0	34	12	12	0.8509	0.72403081	70.8883
niacin	0.385	123.0320284	0	1	1.79	0	9	3	9	0	14	6	6	0.2931	0.08590761	31.1573
niacinamide	-0.343	122.048012812	0	1	1.79	0	9	3	9	0	15	6	6	-0.1019	0.01038361	31.3795
niaprazine	2.938	356.437857757118	0	7	3	4	9	6	28	1	51	12	12	2.301	5.294601	101.4461
nicardipine	4.868	479.205635648001	1	11	3.33	2	11	7	37	1	64	12	12	4.1854	17.51757316	129.5175
nicergoline	3.588	483.115753792001	0	5	3.33	0	9	4	35	1	57	16	15	2.9057	8.44309249	122.4662
nicorandil	0.418	211.059305768	0	6	1.57	2	9	8	15	0	24	6	6	0.6138	0.37675044	46.0441
nicotine	-4.28	498.169703640001	2	7	1.68	4	6	6	31	1	64	6	6	-3.4045	11.59062025	98.395
nifedipine	3.305	346.116486296	0	6	2.45	0	11	4	26	0	43	6	6	2.381	5.669161	88.1451
niflumic_acid	3.679	282.061612188	0	4	2.12	0	16	3	21	0	29	12	12	3.452	11.916304	65.8556
nifuratel	1.969	285.277926511956	0	5	1.57	0	14	3	20	0	30	5	5	1.7434	3.03944356	67.9803
nifuroxazide	2.352	275.054220388	0	5	1.9	0	20	5	21	0	29	11	11	2.685	7.20922499999999	64.012
nifurtimox	1.173	287.057591516	0	3	1.57	0	11	3	20	0	32	5	5	1.4	1.96	63.8294
nikethamide	1.163	178.110613068	0	4	2.23	0	9	5	13	0	27	6	6	0.6035	0.36421225	51.3605
nilotinib	4.928	529.183792984001	0	8	3.33	0	33	3	43	0	61	29	29	5.5513	30.81693169	141.1289
nilutamide	2.272	317.06234046	0	3	1.68	0	15	3	23	0	32	6	6	3.1827	10.12957929	62.072
nilvadipine	3.688	385.127385328	0	7	2.56	0	13	5	29	0	47	6	6	1.9261	3.70986121	98.1098
nimesulide	2.635	308.046692484	0	5	2.01	0	20	3	22	0	33	12	12	3.2509	10.56835081	70.4502
nimodipine	3.998	418.174001172001	0	10	2.78	2	11	7	31	0	56	6	6	2.2	4.83999999999999	108.6872
nimorazole	-0.217	226.232821235505	0	4	1.68	2	8	3	17	1	30	5	5	-0.2316	0.0536385599999999	57.5811
nintedanib	3.138	539.253254536001	0	9	3.88	2	30	4	44	2	73	18	18	3.4609	11.97782881	156.2913
nisoldipine	4.383	388.163436488001	0	8	2.78	3	11	6	29	0	52	6	6	2.9454	8.67538116000001	100.1691
nitazoxanide	1.237	307.026291388	0	6	1.79	0	20	3	22	0	30	11	11	2.2534	5.07781156	69.2536
nitisinone	1.594	329.05110708	0	4	2.01	0	11	3	24	0	33	6	6	2.2028	4.85232784	65.3807
nitrazepam	2.046	281.080041212	0	2	2.45	0	20	3	23	0	32	12	12	3.1233	9.75500289	71.2823
nitrendipine	3.728	360.132136360001	0	7	2.56	0	11	5	27	0	46	6	6	2.6314	6.92426595999999	92.4389
nitric_oxide	-0.399	29.99798862	0	0	1.24	0	1	2	1	0	2	0	0	-0.0233	0.00054289	1.4429
nitrofurantoin	-0.093	238.033819292	0	3	1.35	0	16	3	18	0	23	5	5	0.7033	0.49463089	47.9922
nitrofurazone	0.163	198.136492442104	0	4	1.24	0	14	5	14	0	20	5	5	0.2232	0.0498182399999999	45.2176
nitrogen	0	28.006148	0	0	1.24	0	1	2	1	0	2	0	0	0	0	0
nitroglycerin	0.976	227.00257874	0	8	0.47	3	4	9	14	0	20	0	0	2.0503	4.20373009	28.5429
nitrous_oxide	-0.095	44.00106262	0	0	1.13	0	3	3	2	0	3	0	0	-0.3919	0.15358561	1.945
nitroxoline	1.611	190.037842052	0	1	1.9	0	14	3	15	0	20	11	10	2.1757	4.73367049	46.239
nizatidine	1.104	331.113666912001	0	10	1.79	2	7	9	21	1	42	5	5	0.938300000000001	0.880406890000001	87.4916
nomegestrol	2.897	328.203844756001	0	1	3.44	2	6	3	27	0	52	0	0	0.799600000000001	0.639360160000001	93.4739
nonoxynol-9	4.592	616.418648120002	1	35	3.99	9	7	28	43	0	103	6	6	-1.8311	3.35292721	157.8459
nordazepam	2.776	270.055990652	0	1	2.67	0	17	0	21	0	30	12	12	3.1965	10.21761225	74.0401
norepinephrine	-0.113	169.073893212	0	2	1.9	2	8	4	12	1	23	6	6	0.0177999999999999	0.000316839999999997	43.807
norethandrolone	3.998	302.224580200001	0	1	3.44	0	4	2	25	0	52	0	0	-0.0511999999999976	0.00262143999999975	85.4603
norethindrone	3.244	298.193280072001	0	0	3.44	0	4	2	25	0	48	0	0	0.950399999999997	0.903260159999995	84.4142
norfloxacin	2.372	319.133219656001	0	3	2.45	0	15	3	25	1	41	11	10	1.9593	3.83885649	80.4345
norgestimate	4.796	369.230393852001	0	3	3.55	0	5	3	30	0	58	0	0	1.0363	1.07391769	101.949
norgestrel	3.813	312.208930136001	0	1	3.55	0	4	2	26	0	51	0	0	0.615299999999998	0.378594089999998	89.2626
nortriptyline	4.687	263.167399672	0	3	3.44	3	14	5	22	1	41	12	12	2.8393	8.06162449	85.7222
noscapine	2.495	413.147452076001	0	4	3	0	11	2	34	1	53	12	12	3.2106	10.30795236	106.6227
nystatin	2.44	925.503499940002	2	3	4.65	0	8	3	67	1	140	0	0	-5.13799999999999	26.3990439999999	229.5203
octreotide	3.218	1018.440480312	3	19	4.43	4	9	6	75	2	137	22	21	-2.7331	7.46983561	259.1989
octylonium	7.828	563.56734751656	3	18	3.88	8	19	9	36	2	79	12	12	2.6709	7.13370681000001	139.8946
ofloxacin	2.353	361.14378434	0	2	2.56	0	16	3	29	1	46	11	10	1.9089	3.64389921	90.5891
olanzapine	2.753	312.140867640001	0	1	2.78	0	15	0	25	3	42	11	11	3.0916	9.55799056	91.9288
olaparib	3.028	434.175418816001	0	6	3.22	0	11	2	36	0	55	17	16	2.675	7.155625	114.6467
olmesartan	5.087	446.206638692001	1	8	3.11	3	17	3	36	0	59	22	22	3.2363	10.47363769	127.7943
olodaterol	1.813	386.184171932001	0	7	3	3	11	6	30	1	54	12	12	2.2088	4.87879744	103.8849
olopatadine	3.421	337.167793596001	0	5	3.33	3	15	5	27	1	48	12	12	3.0657	9.39851649	98.4582
olsalazine	3.416	302.05388604	0	4	2.12	0	22	3	23	0	32	12	12	3.1838	10.13658244	75.6839
omacetaxine	1.719	545.262481828001	1	11	3.55	8	8	10	43	1	78	6	6	0.967199999999997	0.935475839999994	136.9711
omacetaxine_mepesuccinate	1.719	545.262481828001	1	11	3.55	8	8	10	43	1	78	6	6	0.967199999999997	0.935475839999994	136.9711
ombitasvir	7.70200000000001	893.505112104002	3	22	5.31	4	9	7	70	0	132	18	18	2.4434	5.97020355999998	232.0475
omega-3_acid_ethyl_esters_usp	18.343	687.04732373033	3	31	6.08	22	3	25	48	0	120	0	0	13.6062	185.12867844	231.494
omega-3_fatty_acids	24.393	909.371132724668	3	40	7.4	22	3	23	63	0	158	0	0	18.3528	336.82526784	302.0952
omeprazole	0.536	345.114712468001	0	5	2.56	0	12	3	26	0	43	16	15	2.8867	8.33303689	84.3469
ondansetron	2.793	293.152812228001	0	2	3	0	11	0	25	0	41	15	14	2.6547	7.04743209000001	86.3271
opipramol	3.252	363.231062548001	0	6	3.55	3	15	3	30	2	56	12	12	3.2656	10.66414336	111.9606
orgotein	0	515.76481100208	1	0	0.58	0	0	0	0	0	8	0	0	0	0	0
orlistat	10.261	495.392373796001	2	24	3.99	13	3	18	35	0	88	0	0	-4.4218	19.55231524	113.7603
ornidazole	0.659	219.04106886	0	4	1.46	3	8	4	14	0	24	5	5	0.851899999999999	0.725733609999999	45.9051
ornithine	-3.307	132.089877624	0	4	1.57	5	3	7	8	2	21	0	0	-2.4611	6.05701320999999	29.5217
orotic_acid	-1.247	156.096468623593	0	1	1.35	0	11	3	11	0	15	0	0	-1.1772	1.38579984	33.3497
orphenadrine	3.595	269.177964356	0	6	3.22	2	6	6	21	1	43	12	12	3.8711	14.98541521	84.9682
oseltamivir	1.052	312.204907376001	0	9	2.56	5	5	5	22	1	50	0	0	-1.6077	2.58469929	80.1654
ospemifene	6.285	378.138657656001	1	8	3.77	4	21	5	29	0	50	18	18	5.6823	32.28853329	112.1297
oxacillin	2.414	401.104541708001	0	5	2.56	0	14	3	31	0	47	11	11	2.1529	4.63497841	100.9371
oxalate	-1.65	88.0190915038536	0	1	1.24	2	6	4	5	0	6	0	0	-1.8352	3.36795904	9.883
oxaliplatin	-0.628	395.270010224876	0	1	1.57	2	6	4	13	0	27	0	0	-0.5884	0.34621456	36.99
oxandrolone	4.15	306.219494820001	0	0	3.22	0	3	0	25	0	52	0	0	0.853599999999999	0.728632959999998	82.2742
oxaprozin	3.675	293.10519334	0	5	3	3	17	4	24	0	37	17	17	3.6847	13.57701409	82.1898
oxatomide	3.741	426.241961580001	0	7	3.88	3	10	3	36	2	62	22	21	5.0135	25.13518225	124.1474
oxazepam	3.273	286.050905272	0	1	2.56	0	17	0	22	0	31	12	12	2.9482	8.69188324	75.3136
oxcarbazepine	1.49	252.089877624	0	1	2.67	0	18	3	21	0	31	12	12	2.4665	6.08362225	69.8828
oxeladin	4.341	335.246043916001	1	13	3.22	5	6	13	24	1	57	6	6	2.438	5.94384400000001	98.5572
oxetorone	4.278	319.157228912001	0	3	3.44	3	18	5	27	1	45	16	15	3.7667	14.18802889	96.0194
oxiconazole	6.663	426.981272756	1	6	2.56	2	9	5	28	0	39	17	17	5.7813	33.42342969	106.0657
oxiracetam	-2.546	158.06914218	0	2	1.57	2	3	3	11	0	21	0	0	-1.9357	3.74693449	34.6689
oxitropium	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
oxolamine	2.916	245.152812228	0	6	2.56	2	11	5	19	1	37	11	11	2.236	4.999696	70.127
oxprenolol	2.024	265.167793596	0	9	2.67	3	8	7	19	1	42	6	6	1.7108	2.92683663999999	76.1824
oxtriphylline	-1.839	283.164439532001	0	2	1.9	2	11	5	20	2	41	10	9	-1.3055	1.70433025	63.4627
oxybenzone	3.514	228.24380638365	0	3	2.67	0	16	2	18	0	29	12	12	2.9504	8.70486016	64.7908
oxybutynin	4.342	357.230393852001	0	8	3.44	4	6	11	27	1	57	6	6	1.5112	2.28372544	98.0644
oxycodone	0.0119999999999996	315.147058152001	0	1	2.89	0	8	2	27	1	44	6	6	0.787299999999997	0.619841289999995	83.3956
oxygen	-0.798	31.98982924	0	0	1.24	0	1	2	1	0	2	0	0	-0.0466	0.00217156	2.8858
oxymetazoline	3.362	260.188863388	0	3	2.89	0	7	3	20	2	43	6	6	3.1368	9.83951424000001	78.5249
oxymetholone	5.119	332.235144884001	1	0	3.44	0	5	2	27	0	56	0	0	0.760399999999999	0.578208159999999	91.8353
oxymorphone	-0.309	301.131408088001	0	0	2.78	0	8	0	26	1	41	6	6	0.408899999999997	0.167199209999998	78.7016
oxypertine	3.768	379.225977168001	0	6	3.44	2	11	2	31	1	57	16	15	5.0066	25.06604356	114.5378
oxyquinoline	1.719	145.052763844	0	0	2.23	0	11	0	12	0	18	11	10	1.8763	3.52050169	41.5983
oxytetracycline	-0.811	460.148180348001	1	2	2.67	0	12	3	36	1	57	6	6	-1.9508	3.80562064	111.8852
oxytocin	-0.525000000000004	1006.436457552	3	20	3.33	5	7	9	71	1	135	6	6	-6.4479	41.57541441	232.9265
paclitaxel	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
palbociclib	2.415	447.238273168001	0	5	3.11	2	21	3	37	1	62	17	16	0.455299999999999	0.20729809	116.8881
paliperidone	1.832	426.206718944001	0	4	3.11	2	9	2	35	1	58	16	15	1.0903	1.18875409	106.1948
palmitate	16.069	480.490631288002	2	30	4.76	16	3	33	33	0	98	0	0	-7.7181	59.56906761	105.9637
palonosetron	2.687	296.188863388001	0	1	3.22	0	9	0	26	1	46	6	6	-0.411900000000001	0.169661610000001	81.4169
pamabrom	0.382	347.059301536	0	1	1.68	3	11	4	20	1	38	10	9	0.6716	0.45104656	70.8709
pamidronate	-6.991	369.017786868	2	4	-0.0800000000000001	3	4	6	12	3	39	0	0	NA	NA	NA
pancuronium	6.586	572.455308400002	1	6	4.65	0	3	3	46	4	101	0	0	-3.4624	11.98821376	145.722
panobinostat	2.985	349.179026976001	0	8	3.22	3	12	5	28	1	49	16	15	3.1856	10.14804736	104.3947
pantethine	-2.09	554.244406304001	3	23	2.34	4	3	26	35	0	78	0	0	-1.5226	2.31831076	136.3024
panthenol	-1.234	205.131408088	0	7	1.9	4	3	10	13	0	33	0	0	-1.5118	2.28553924	49.131
pantoprazole	0.445	383.0751334	0	7	2.12	0	12	3	28	0	41	16	15	2.7236	7.41799696	82.2181
pantothenate	-3.648	476.168286204001	3	14	2.01	4	3	10	28	0	63	0	0	NA	NA	NA
pantothenic_acid	-1.343	219.110672644	0	7	1.79	4	3	10	14	0	32	0	0	-0.9801	0.960596009999999	50.7111
papaveretum	6.645	1031.365728288	1	7	5.75	0	12	2	78	2	135	29	28	6.5785	43.2766622499999	258.8184
papaverine	3.272	339.147058152001	0	6	3.11	0	12	2	27	0	46	17	16	4.0135	16.10818225	95.2171
paraldehyde	1.221	132.078644244	0	0	1.79	0	0	0	9	0	21	0	0	0.9576	0.91699776	30.2247
paramethasone	1.036	392.46189944813	0	2	3.22	2	6	4	31	0	57	0	0	1.3511	1.82547121	103.0875
parecoxib	3.684	370.098728056	0	6	2.78	3	23	6	28	0	44	17	17	3.2817	10.76955489	97.2375
paricalcitol	6.14	416.329045268001	1	5	4.1	7	4	7	32	0	74	0	0	0.683199999999995	0.466762239999994	123.5074
paromomycin	-6.847	615.296301120001	2	9	1.9	0	0	2	45	5	87	0	0	-9.0195	81.35138025	132.289
paroxetine	3.319	329.142721720001	0	4	3	0	9	2	27	1	44	12	12	2.3451	5.49949401	85.1288
pasireotide	6.124	1046.501423692	4	19	5.75	4	9	6	84	2	143	34	33	1.3808	1.90660864000001	274.7877
pazopanib	3.336	437.163393976001	0	5	2.67	0	27	3	34	0	54	22	21	3.9873	15.89856129	118.2527
pectin	-1.54	194.139657411972	0	1	1.35	0	3	3	13	0	23	0	0	-2.3045	5.31072025	35.8659
pefloxacin	2.611	333.148869720001	0	3	2.56	0	15	3	26	1	44	11	10	2.6226	6.87803075999999	85.6541
pegaptanib	0.579	541.573503424472	3	27	2.34	7	4	24	35	0	80	0	0	0.907699999999996	0.823919289999993	132.4683
pemetrexed	-6.695	705.318099184001	3	16	2.23	5	11	8	47	2	96	16	15	-4.6686	21.79582596	160.333
pemirolast	-0.133	266.031840524	0	1	1.68	0	16	0	19	1	25	16	15	NA	NA	NA
pemoline	1.035	176.058577496	0	1	2.01	0	6	0	14	2	21	6	6	0.8216	0.67502656	43.7113
penbutolol	4.171	291.219829168001	0	7	3.11	3	7	7	22	1	50	6	6	1.4377	2.06698129	82.0055
penciclovir	-0.539	253.11748934	0	5	1.68	4	11	5	19	0	33	10	9	-1.584	2.509056	62.7301
penfluridol	7.514	523.170133264001	1	8	3.66	4	6	4	39	1	63	18	18	5.8586	34.32319396	126.7209
penicillamine	-1.883	149.051049592	0	2	1.57	4	3	5	8	1	20	0	0	-0.0417000000000003	0.00173889000000002	37.2238
penicillin	4.894	545.234827600001	0	10	3.99	2	6	4	42	1	74	18	18	4.4091	19.44016281	152.0036
penicillin_g	0.699	588.261770620001	2	12	3.33	2	10	8	42	1	81	12	12	2.91730000000001	8.51063929000003	152.9485
penicillin_v	5.582	940.349933992002	4	19	4.76	2	7	6	71	2	122	24	24	4.5596	20.78995216	246.3898
pentaerythritol	1.386	316.013871696	1	12	0.25	3	4	9	20	0	29	0	0	2.4466	5.98585156	42.4301
pentamidine	3.958	340.189926008001	0	10	2.89	5	10	7	26	4	49	12	12	1.3356	1.78382736	89.2792
pentazocine	3.694	285.209264484001	0	2	3.33	4	7	4	23	1	48	6	6	3.5168	12.36788224	88.6284
